step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,About,"Ai Apaec is a mythical being in Moche culture known to be the god of the universe and sky. He is connected to three worlds: the sky, earth, and underworld. The Ai Apaec is commonly incorporated into Moche everyday lifestyle in the form of a ceramic vessel that resembles a corn cob. Our mission is to explore and deliver this object’s agricultural and divine relationship to the Moche people. We have included 5 questions that will provide a detailed explanation of what the vessel is, how it was created, what it physically portrays, and the religious and overall significance of the ceramic vessel.
",,,,,,,,
2,dsc0381,0.5375592764180833,0.5169908646150595,1.041984,,What is this object?,"Originally it was not known what was put inside these vessels, it was mainly believed that they were used for funerary purposes as they were buried with people because in Moche culture, colors such as tan, orange, red, etc, were used exclusively for funerary wares for the elite. Now it is believed that they contained beverages such as corn beer inside of them. This type of vessel was used to store and serve liquids such as chicha which is a fermented, alcoholic corn/maize beer) which was used in ceremonies, feasting, and rituals. Chica is the most widely accepted substance in Moche society. It is important to the Inca because maize was grown on local farms, such as ones that were on hill slopes and irrigated valleys that were designated for maize. It was used as an offering to the gods and ancestors of the Inca through rituals and ceremonies",,Learn more,blank_template-learn-more.md,,,,,
3,dsc0384,0.498066826302963,0.4867398090675174,0.9045000000000001,," How was this vessel made, and what is it used for?","The vessel was made from clay using an intricate method of molding, coiling, modeling and stamping. For, vessels with stirrup spout the clay contained fine-grained sand. The two basic colors were red and white which came from clay, ash, and other organic materials, with the vessel being polished with a hard rock to smooth it. The object seems to have been for religious and consumption uses, although the impractical nature of the spout suggests a less casual use. 
",,Learn more,blank_template-more-info.md,,,,,
4,dsc0364,0.5400561485623396,0.2975380273723265,2.0736,,Who is the figure depicted on the vessel?,"The figure on the Moche vessel is Ai Apaec, a name given by scholars for a Moche deity shown in many artworks. His original name is unknown. He is shown with animal features like fangs and serpent features to represent power and nature. His exact role is still debated by researchers
",,Learn more,blank_template-step4-layer1.md,,,,,
5,dsc0364,0.5006663284246545,0.5039408773996397,0.9,,What is the religious significance of the Ai Apaec vessel?,"Moche culture is deeply intertwined with religion and agriculture. The Ai Apaec was represented by a ceramic stirrup vessel which was utilized in various rituals and funerary customs. By designing the vessel in the shape of a corn cob, the Moche hoped to connect the living and divine world with one another. The act of burying the vessel with the dead was done with the belief that power and protection was carried into the afterlife",,Learn more,blank_template-step5-layer1.md,Go deeper,blank_template-go-deeper.md,,,
6,1272at,0.4974043955341929,0.49061132651894257,1.092763157894737,,How does the corn on the vessel reflect broader Moche society?,"The Moche people were very masterful in crafting unique, brilliant pieces of pottery and ceramics while incorporating aspects of everyday life. In Moche culture, corn was extremely important because it was a major food source and a symbol of successful agriculture. The Moche incorporated corn into their ceramics and pottery to emphasize the importance of agriculture in their lives and to show how corn was, and continued to have a strong presence. Some vessels were also used to hold chicha (maize beer), which further connects corn and Moche ceramics. They used corn to show daily life, and a more overarching idea of survival and power",,Learn more,blank_template-step6-layer1.md,,,,,
7,,0.5,0.5,1,,Works Cited,"


",,Learn more,blank_template-works-cited.md,,,,,
8,,0.5,0.5,1,,Thank You!,,,,,,,,,
